Sample,Cluster
nCWES001,1
nCWES007,1
nCWES012,1
nCWES057,1
nWES005,1
nCNE001,0
nCCZ006,0
nCCZ012,1
nCCZ015,0
nCCZ017,0
nCCZ018,1
nCCZ019,1
nCCZ022,1
nCCZ023,1
nCCZ025,0
nCCZ026,0
nCCZ027,0
nCCZ028,1
nCCZ036,1
nCCZ037,1
nCCZ039,0
nCCZ041,0
nCCZ042,0
nCCZ043,0
nCCZ044,0
nCCZ045,0
nCCZ047,0
nCCZ048,1
nCCZ049,0
nCCZ050,0
nCCZ051,0
nCCZ052,0
nCCZ053,0
nCCZ056,0
nCNE084,0
nCFR066,0
nCFR069,0
nCFR073,0
nCFR075,0
nCFR076,0
nCFR077,0
nCFR078,0
nCFR079,0
nCFR021,1
nCNE052,0
nCNE065,1
nCNE074,1
nCNE087,1
nCNE096,0
nCFR002,1
nCFR012,0
nCFR018,1
nCFR023,1
